"","PROBEID","SYMBOL","ENTREZID","ENSEMBL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210947","Alkal1","620393","ENSMUSG00000087247",0.313040267757342,4.87871950753632,1.3398958685484,0.203641248188833,0.283790350755826,-6.18612100607208
"2","17210984","Pcmtd1","319263","ENSMUSG00000051285",-0.431970609818167,9.20840205452474,-4.27381620659305,0.000942852181885389,0.00422495179149316,-1.03882681817423
"3","17211000","Rrs1","59014","ENSMUSG00000061024",0.349650929891692,6.17845557565013,1.5372751922876,0.148633370850214,0.218250618814616,-5.9248863721021
"4","17211004","Adhfe1","76187","ENSMUSG00000025911",-0.976007611414354,7.22547116161244,-5.94973740465236,5.20162008754311e-05,0.000559477665071288,1.92470490520331
"5","17211131","Prex2","109294","ENSMUSG00000048960",-0.431042780307113,10.6090541455091,-4.33336322960404,0.000845376552759067,0.00389541218942138,-0.927949731233971
"6","17211198","Sulf1","240725","ENSMUSG00000016918",-0.611654702316528,8.24964631249966,-2.82004218588263,0.0146798526952287,0.0326940511141691,-3.78146178219374
"7","17211258","Rdh10","98711","ENSMUSG00000025921",0.346497722383537,8.17113757078434,1.93547765448687,0.0753935488634099,0.124774240674223,-5.32798257446739
"8","17211286","Ly96","17087","ENSMUSG00000025779",0.50918482007633,8.54243405894443,2.58676787654749,0.0228340550762534,0.0465777405385885,-4.20911948916995
"9","17211305","Pi15","94227","ENSMUSG00000067780",1.10742176465937,7.0747618338067,4.92589273402725,0.00029211183992345,0.00182106350986617,0.155709602238716
"10","17211382","Efhc1","71877","ENSMUSG00000041809",-1.10011502509099,7.77081858831078,-7.54522912055452,4.70482901965626e-06,0.000109675605668329,4.39028002103475
"11","17211405","Gsta3","14859","ENSMUSG00000025934",-0.0560671875096705,8.6396764459162,-0.325357628855232,0.750180957059185,0.805147637717947,-7.02871169365462
"12","17211423","Khdc1c","433278","ENSMUSG00000041722",0.0104869275775785,3.62370650413472,0.04790063910554,0.962536657227782,0.970147562828338,-7.08393023116267
"13","17211441","Mir30a","387225","ENSMUSG00000065405",0.0617040075229638,4.05567961392351,0.347922764214539,0.733567703520825,0.791428797369577,-7.02064880325518
"14","17211443","Mir30c-2","723964","ENSMUSG00000065567",0.367853714059125,5.49830640787995,1.66949785305894,0.119339997750261,0.181555593327022,-5.73620672966382
"15","17211587","Dst","13518","ENSMUSG00000026131",-0.258039753190101,8.65577484576327,-2.50451084617967,0.0266517708455603,0.0530643931989869,-4.35733990444764
"16","17211790","Hs6st1","50785","ENSMUSG00000045216",0.403222575343951,8.00217031924609,3.49484680805641,0.00405376126678485,0.0120228137372812,-2.50974612068701
"17","17211795","Arid5a","214855","ENSMUSG00000037447",1.5906055523913,7.20130671553131,8.48477676297371,1.32737792326786e-06,4.9393298995638e-05,5.68300924222448
"18","17211822","Cnnm4","94220","ENSMUSG00000037408",0.861595762283308,6.80727755278559,7.0711257557418,9.27787549111313e-06,0.000168435612325027,3.69440259166134
"19","17212087","Npas2","18143","ENSMUSG00000026077",1.73455810396061,7.55486177447088,5.16046440626488,0.000194224786720248,0.00138923689342095,0.573369561669968
"20","17212138","Map4k4","26921","ENSMUSG00000026074",0.203643709926334,9.37739322100331,1.90601541032306,0.0794104401554016,0.129843871989905,-5.37490507343993
